id,city,name,lat,lon,date,pm10,pm25,no2,so2,co
10158,Bielsko-Biała,"Bielsko-Biała, ul. Partyzantów",49.802075,19.04861,2026-03-31,0.0,29.9,37.0,0.0,0.43
10374,Opole,"Opole, ul. Koszyka",50.666736,17.899137,2026-03-31,12.7,8.5,0.0,0.0,0.0
10414,Rymanów-Zdrój,"Rymanów Zdrój, ul. Parkowa",49.546539,21.851006,2026-03-31,18.5,15.8,0.0,0.0,0.0
10438,Mielec,"Mielec, ul. Biernackiego",50.299128,21.440942,2026-03-31,18.0,15.3,7.1,0.0,0.0
10446,Rabka-Zdrój,"Rabka-Zdrój, ul. Orkana",49.608647,19.966008,2026-03-31,16.5,0.0,0.0,0.0,0.0
10447,Kraków,"Kraków, Os. Wadów",50.100569,20.122561,2026-03-31,13.0,0.0,0.0,0.0,0.0
10456,Opoczno,"Opoczno, ul. Skłodowskiej-Curie",51.379128,20.282169,2026-03-31,0.0,0.0,0.0,0.0,0.0
10554,Żory,"Żory, Os. Gen. Władysława Sikorskiego",50.029416,18.689527,2026-03-31,0.0,0.0,0.0,0.0,0.0
10694,Włocławek,"Włocławek, ul. Gniazdowskiego",52.651561,19.051886,2026-03-31,0.0,0.0,0.0,0.0,0.0
10794,Małogoszcz,"Małogoszcz, ul. Słoneczna",50.80961,20.266032,2026-03-31,18.9,13.5,9.0,8.3,0.0
10814,Oświęcim,"Oświęcim, ul. J. Bema",50.033083,19.245275,2026-03-31,16.2,0.0,0.0,0.0,0.0
10817,Złockie,"Złockie, szkoła podstawowa",49.374147,20.879581,2026-03-31,2.6,0.0,0.0,0.0,0.0
10834,Koziegłowy,"Koziegłowy, Os. Leśne",52.449295,16.999634,2026-03-31,14.7,0.0,5.9,0.0,0.15
10854,Wieniec-Zdrój,"Wieniec Zdrój, ul. Wieniecka",52.656773,18.987456,2026-03-31,0.0,0.0,0.0,0.0,0.0
10874,Florianka,"Florianka, RPN",50.551894,22.982861,2026-03-31,0.0,0.0,6.5,3.2,0.0
10934,Kołobrzeg,"Kołobrzeg, ul. Żółkiewskiego",54.179381,15.596347,2026-03-31,36.6,19.3,0.0,0.0,0.0
10955,Warszawa,"Warszawa, ul. Chrościckiego",52.207742,20.906073,2026-03-31,20.1,12.8,0.6,0.5,0.0
